Customer Id,Customer Name,Segment,Country,State,Region,Market
1,Toby Braunhardt,Consumer,Algeria,Constantine,Africa,Africa
2,Joseph Holt,Consumer,Australia,New South Wales,Oceania,APAC
3,Annie Thurman,Consumer,Hungary,Budapest,EMEA,EMEA
4,Eugene Moren,Home Office,Sweden,Stockholm,North,EU
5,Magdelene Morse,Consumer,Canada,Ontario,Canada,Canada
6,Kean Nguyen,Corporate,Australia,New South Wales,Oceania,APAC
7,Ken Lonsdale,Consumer,New Zealand,Auckland,Oceania,APAC
8,Lindsay Williams,Corporate,Iraq,Ninawa,EMEA,EMEA
9,Larry Blacks,Consumer,Philippines,National Capital,Southeast Asia,APAC
10,Dorothy Dickinson,Consumer,United Kingdom,England,North,EU
11,Dennis Pardue,Home Office,Malaysia,Sarawak,Southeast Asia,APAC
12,Stewart Visinsky,Consumer,Guatemala,Guatemala,Central,LATAM
13,Jas O'Carroll,Consumer,Iran,Yazd,EMEA,EMEA
14,Chris McAfee,Consumer,Thailand,Nakhon Ratchasima,Southeast Asia,APAC
15,Nat Gilpin,Corporate,Iran,Razavi Khorasan,EMEA,EMEA
16,Jack Garza,Consumer,Tanzania,Dar Es Salaam,Africa,Africa
17,Russell Applegate,Consumer,Brazil,Parana,South,LATAM
18,Maya Herman,Corporate,Mexico,Yucatán,North,LATAM
19,Beth Thompson,Home Office,Cuba,Granma,Caribbean,LATAM
20,Arthur Prichep,Consumer,France,Rhône-Alpes,Central,EU
21,Beth Thompson,Home Office,Brazil,Alagoas,South,LATAM
22,Arthur Wiediger,Home Office,Cuba,Santiago de Cuba,Caribbean,LATAM
23,Grant Thornton,Corporate,United Kingdom,England,North,EU
24,Darren Powers,Consumer,United States,Texas,Central,US
25,Bradley Drucker,Consumer,Japan,Tottori,North Asia,APAC
26,Jasper Cacioppo,Consumer,Sudan,Khartoum,Africa,Africa
27,Jennifer Halladay,Consumer,Mexico,Veracruz,North,LATAM
28,Michael Granlund,Home Office,France,Rhône-Alpes,Central,EU
29,Phillina Ober,Home Office,United States,Illinois,Central,US
30,Shaun Weien,Consumer,Taiwan,Taipei City,North Asia,APAC
31,Shahid Hopkins,Consumer,France,Ile-de-France,Central,EU
32,Brosina Hoffman,Consumer,Indonesia,Sumatera Barat,Southeast Asia,APAC
